Date,Open,High,Low,Close,Volume
02/14/2024,"24.84","25.05","24.53","24.86","67,079"
02/13/2024,"24.43","24.73","24.28","24.32","104,304"
02/12/2024,"24.55","25.50","24.55","25.30","73,407"
02/09/2024,"23.62","24.58","23.62","24.35","85,027"
02/08/2024,"23.12","23.66","22.96","23.53","81,200"
02/07/2024,"23.84","23.84","23.00","23.12","59,301"
02/06/2024,"23.98","24.28","23.73","23.82","98,244"
02/05/2024,"24.66","24.66","24.07","24.09","62,619"
02/02/2024,"24.72","24.91","24.50","24.80","72,166"
02/01/2024,"24.74","25.34","24.51","25.22","73,689"
01/31/2024,"25.17","25.46","24.48","24.71","101,869"
01/30/2024,"25.17","25.48","24.99","25.22","60,545"
01/29/2024,"25.30","25.48","24.80","25.38","124,793"
01/26/2024,"25.33","25.64","25.11","25.31","156,362"
01/25/2024,"24.69","25.25","24.52","25.17","99,352"
01/24/2024,"24.77","24.91","24.09","24.22","65,554"
01/23/2024,"24.87","25.00","24.17","24.70","96,808"
01/22/2024,"23.55","24.59","23.50","24.56","87,934"
01/19/2024,"23.33","23.45","22.84","23.41","112,509"
01/18/2024,"23.38","23.44","22.91","23.20","78,404"
01/17/2024,"23.15","23.46","23.05","23.25","68,823"
01/16/2024,"23.84","24.02","23.45","23.56","69,932"
01/12/2024,"24.10","24.15","23.72","23.90","75,597"
01/11/2024,"24.11","24.26","23.46","23.73","115,727"
01/10/2024,"24.28","24.57","24.17","24.28","72,785"
01/09/2024,"24.37","24.54","24.21","24.49","65,847"
01/08/2024,"24.84","25.22","24.44","24.70","131,064"
01/05/2024,"24.14","25.16","24.02","24.70","194,521"
01/04/2024,"24.48","24.56","24.16","24.37","70,754"
01/03/2024,"25.01","25.01","24.24","24.37","110,041"
01/02/2024,"25.17","25.44","25.01","25.11","59,925"
12/29/2023,"25.13","25.51","24.85","25.01","70,027"
12/28/2023,"25.02","25.47","25.01","25.29","72,913"
12/27/2023,"25.38","25.45","25.17","25.31","99,647"
12/26/2023,"25.11","25.40","24.99","25.35","76,952"
12/22/2023,"25.14","25.49","24.88","25.22","114,460"
12/21/2023,"24.77","25.13","24.57","25.12","142,764"
12/20/2023,"25.47","25.72","24.64","24.64","227,519"
12/19/2023,"25.25","25.54","24.99","25.36","138,170"
12/18/2023,"24.95","25.30","24.50","25.12","92,804"
12/15/2023,"25.72","25.72","24.83","25.12","196,643"
12/14/2023,"25.77","26.39","25.15","25.46","122,868"
12/13/2023,"24.21","25.17","23.80","25.05","168,307"
12/12/2023,"24.53","24.63","24.23","24.35","62,271"
12/11/2023,"24.66","25.01","24.34","24.70","98,367"
12/08/2023,"24.50","25.31","24.50","24.91","83,916"
12/07/2023,"23.57","24.58","23.32","24.56","134,485"
12/06/2023,"23.77","24.10","23.53","23.57","83,590"
12/05/2023,"23.31","23.52","22.89","23.43","138,844"
12/04/2023,"23.15","23.66","23.15","23.51","85,388"
12/01/2023,"22.50","23.27","22.45","23.15","101,882"
11/30/2023,"22.36","22.86","22.05","22.59","113,436"
11/29/2023,"22.80","23.03","22.13","22.31","97,771"
11/28/2023,"22.60","22.77","22.10","22.57","67,072"
11/27/2023,"22.42","22.74","22.25","22.38","99,949"
11/24/2023,"22.53","22.85","22.32","22.71","45,532"
11/22/2023,"22.20","22.66","22.00","22.42","74,075"
11/21/2023,"21.81","22.34","21.63","22.11","80,824"
11/20/2023,"22.70","22.74","21.79","22.03","166,309"
11/17/2023,"21.62","22.64","21.20","22.58","172,230"
11/16/2023,"21.61","21.87","21.10","21.40","170,369"
11/15/2023,"22.14","22.63","21.38","21.71","169,621"
11/14/2023,"20.85","22.27","20.61","22.00","310,341"
11/13/2023,"20.91","21.52","20.11","20.15","221,096"
11/10/2023,"21.28","21.28","20.28","20.97","235,233"
11/09/2023,"20.66","22.07","18.06","21.17","514,739"
11/08/2023,"23.17","23.27","22.47","22.83","178,868"
11/07/2023,"22.96","23.32","22.48","23.12","89,577"
11/06/2023,"23.02","23.02","22.41","22.97","67,271"
11/03/2023,"23.17","23.82","23.06","23.25","102,192"
11/02/2023,"21.59","22.96","21.59","22.93","126,456"
11/01/2023,"21.46","21.46","20.91","21.18","106,631"
10/31/2023,"21.34","21.71","21.25","21.60","100,359"
10/30/2023,"21.48","21.92","21.28","21.45","115,764"
10/27/2023,"21.38","21.47","21.00","21.18","238,332"
10/26/2023,"22.00","22.00","21.34","21.52","80,683"
10/25/2023,"22.07","22.21","21.70","21.85","87,108"
10/24/2023,"22.52","22.52","21.78","22.22","157,107"
10/23/2023,"22.79","22.93","22.23","22.29","80,037"
10/20/2023,"23.07","23.40","22.68","22.80","79,158"
10/19/2023,"23.56","23.70","22.90","23.01","140,128"
10/18/2023,"24.48","24.48","23.37","23.58","104,400"
10/17/2023,"24.58","25.13","24.50","24.68","92,090"
10/16/2023,"24.63","24.80","24.35","24.56","115,083"
10/13/2023,"25.00","25.04","24.17","24.37","118,086"
10/12/2023,"25.77","25.77","24.33","24.85","85,179"
10/11/2023,"25.32","26.02","24.96","25.83","106,946"
10/10/2023,"25.61","26.10","25.03","25.16","85,928"
10/09/2023,"25.19","25.62","25.19","25.41","66,030"
10/06/2023,"24.70","25.68","24.38","25.36","115,469"
10/05/2023,"25.13","25.44","24.63","24.74","119,476"
10/04/2023,"24.47","25.26","24.32","25.20","139,491"
10/03/2023,"27.59","27.59","23.80","23.94","386,004"
10/02/2023,"28.12","28.85","27.77","27.83","73,051"
09/29/2023,"28.86","28.86","28.16","28.25","102,849"
09/28/2023,"28.97","29.14","28.64","28.71","87,329"
09/27/2023,"29.46","29.89","28.70","29.19","94,480"
09/26/2023,"29.49","30.00","29.12","29.18","83,118"
09/25/2023,"30.00","30.35","29.44","29.54","100,818"
09/22/2023,"30.83","30.86","30.09","30.13","102,583"
09/21/2023,"31.13","31.42","30.75","30.85","115,704"
09/20/2023,"31.14","31.71","30.73","31.35","68,194"
09/19/2023,"30.88","31.44","30.81","31.09","101,968"
09/18/2023,"31.62","31.68","30.80","30.90","88,300"
09/15/2023,"31.96","32.09","31.50","31.57","151,189"
09/14/2023,"31.36","32.00","31.36","31.95","43,464"
09/13/2023,"30.86","31.39","30.80","31.31","50,836"
09/12/2023,"30.41","30.91","30.33","30.90","67,366"
09/11/2023,"30.18","30.41","29.95","30.40","48,342"
