Date,Open,High,Low,Close,Volume
11/17/2023,"226.25","226.25","220.50","220.90","2,378,536"
11/16/2023,"225.10","229.00","223.75","227.00","2,323,139"
11/15/2023,"226.15","227.30","223.25","224.25","1,956,605"
11/13/2023,"223.95","225.75","222.25","224.80","794,592"
11/10/2023,"215.00","222.90","214.70","221.95","2,217,344"
11/09/2023,"215.00","217.60","214.80","215.35","1,237,195"
11/08/2023,"217.70","217.90","213.90","214.25","1,329,710"
11/07/2023,"218.00","218.75","216.50","217.20","883,241"
11/06/2023,"220.65","221.00","216.80","217.15","621,212"
11/03/2023,"219.25","220.65","218.00","219.00","807,803"
11/02/2023,"218.75","219.65","216.60","217.25","881,128"
11/01/2023,"215.95","222.00","215.30","217.65","1,608,525"
10/31/2023,"221.80","223.00","215.65","219.35","1,756,733"
10/30/2023,"224.70","226.00","218.20","219.10","1,780,132"
10/27/2023,"219.00","225.50","216.50","223.00","2,898,844"
10/26/2023,"208.95","217.00","206.55","215.95","3,905,322"
10/25/2023,"206.80","211.75","206.65","210.20","3,231,426"
10/23/2023,"214.25","214.25","204.65","206.65","2,873,874"
10/20/2023,"215.90","217.00","213.00","214.25","1,496,726"
10/19/2023,"216.15","216.15","209.15","214.35","7,734,832"
10/18/2023,"222.95","222.95","215.65","216.10","3,574,596"
10/17/2023,"232.00","233.50","220.50","221.05","4,052,849"
10/16/2023,"225.00","225.95","224.15","224.85","481,292"
10/13/2023,"224.00","225.80","222.10","224.25","1,077,689"
10/12/2023,"226.95","227.25","224.65","225.15","926,634"
10/11/2023,"221.90","227.35","220.60","225.25","2,919,591"
10/10/2023,"221.10","223.90","219.80","220.20","1,254,621"
10/09/2023,"222.10","222.60","218.80","219.70","1,821,298"
10/06/2023,"226.15","227.55","223.80","225.10","1,269,931"
10/05/2023,"225.55","227.90","224.20","225.45","1,141,148"
10/04/2023,"230.65","230.65","223.50","224.70","962,460"
10/03/2023,"231.60","233.90","230.50","231.35","1,428,701"
09/29/2023,"226.95","232.80","224.90","231.35","1,833,574"
09/28/2023,"228.00","229.85","224.70","225.75","1,655,784"
09/27/2023,"231.00","231.20","227.10","227.40","1,315,352"
09/26/2023,"231.00","231.75","230.00","230.45","776,151"
09/25/2023,"229.90","230.80","227.50","229.70","1,425,436"
09/22/2023,"227.70","232.30","226.40","227.80","1,091,356"
09/21/2023,"229.70","235.60","226.80","227.60","2,495,152"
09/20/2023,"231.50","232.00","229.00","229.70","1,264,903"
09/18/2023,"240.00","240.90","230.00","232.90","1,875,660"
09/15/2023,"244.35","244.70","237.75","239.35","2,211,855"
09/14/2023,"242.00","244.55","241.20","242.60","1,518,326"
09/13/2023,"244.20","247.80","236.65","240.20","3,305,744"
09/12/2023,"250.55","252.00","240.70","244.25","5,059,788"
09/11/2023,"256.05","257.00","250.00","250.20","4,097,118"
09/08/2023,"252.00","255.00","249.65","253.30","2,252,626"
09/07/2023,"251.85","257.25","251.25","251.65","5,811,414"
09/06/2023,"246.90","259.75","246.20","252.90","11,256,760"
09/05/2023,"257.40","259.95","253.00","255.10","6,033,065"
09/04/2023,"254.00","267.00","249.00","253.45","19,882,961"
09/01/2023,"236.00","245.30","233.65","245.30","5,124,745"
08/31/2023,"240.90","244.30","230.50","233.65","29,158,830"
08/30/2023,"225.00","232.70","222.90","232.70","7,240,988"
08/29/2023,"211.65","222.20","207.00","221.65","30,807,289"
08/28/2023,"216.00","222.85","207.95","211.65","12,349,080"
08/25/2023,"205.15","225.00","205.15","212.25","34,518,199"
08/24/2023,"215.90","215.90","215.90","215.90","430,512"
08/23/2023,"227.25","227.25","227.25","227.25","379,330"
08/22/2023,"239.20","239.20","239.20","239.20","514,306"
08/21/2023,"265.00","278.20","251.75","251.75","3,551,452"
